"sampleid","seq_id","clade_name","database_used","kingdom","phylum","class","order","family","genus","species","taxid","clean_relative_abundance"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_dentalis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_dentalis","272548.0","0.02247236711022"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_graevenitzii","55565.0","0.01197161958746"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC065F11","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_HMSC065F11","1739395.0","0.02399439994239"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_ICM47","936548.0","0.006817172265082864"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_hallii","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerobutyricum","s__Anaerobutyricum_hallii","39488.0","0.0007290409364159911"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerobutyricum","s__Anaerobutyricum_soehngenii","105843.0","0.00748226224216412"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus_obesiensis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Tissierellia","o__Tissierellales","f__Peptoniphilaceae","g__Anaerococcus","s__Anaerococcus_obesiensis","1287640.0","0.012150682273589999"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_senegalensis","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaeromassilibacillus","s__Anaeromassilibacillus_senegalensis","1673717.0","0.26640690639664"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_caccae","105841.0","0.36367631554477003"
"AML_013_06","20240830_clin_SSG_AML_013_06","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","mpa_vJun23_CHOCOPhlAnSGB_202403","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Anaerostipes","s__Anaerostipes_hadrus","649756.0","0.0024685070303208127"
